Frame_No,ObjID,x1,y1,x2,y2,Class_Name,Confidence,Direction,Aggregate_Count
43,3,1231,340,1464,758,truck,0.72,N/A,0
43,2,172,120,693,349,car,0.79,N/A,0
43,1,1449,25,1690,191,car,0.87,N/A,0
44,32,1002,0,1159,190,truck,0.3,N/A,0
44,31,1212,23,1427,314,truck,0.29,N/A,0
44,27,1223,0,1358,68,car,0.51,N/A,0
44,8,1231,341,1463,761,truck,0.67,N/A,0
44,7,361,0,655,112,car,0.34,N/A,0
44,6,998,0,1159,191,car,0.51,N/A,0
44,5,723,61,958,337,truck,0.55,N/A,0
44,3,1231,341,1464,760,truck,0.67,N/A,0
44,2,178,119,697,349,car,0.77,N/A,0
44,1,1448,22,1683,187,car,0.84,N/A,0
45,32,1002,0,1159,190,truck,0.32,N/A,0
45,27,1221,0,1356,68,car,0.5,N/A,0
45,8,1231,344,1464,765,truck,0.49,N/A,0
45,7,369,1,657,112,car,0.38,N/A,0
45,6,998,1,1158,192,car,0.46,N/A,0
45,5,723,61,958,337,truck,0.57,N/A,0
45,3,1231,345,1464,766,truck,0.49,N/A,0
45,2,181,119,698,349,car,0.73,N/A,0
45,1,1444,17,1677,183,car,0.85,N/A,0
46,33,1209,27,1431,324,car,0.59,N/A,0
46,27,1220,0,1354,68,car,0.49,N/A,0
46,8,1230,346,1465,769,truck,0.42,N/A,0
46,7,369,1,655,113,car,0.4,N/A,0
46,6,997,1,1158,192,car,0.45,N/A,0
46,5,722,61,957,337,truck,0.63,N/A,0
46,3,1231,347,1465,770,bus,0.63,N/A,0
46,2,177,119,696,348,car,0.72,N/A,0
46,1,1438,11,1669,176,car,0.84,N/A,0
47,33,1210,26,1431,321,car,0.52,N/A,0
47,27,1220,0,1352,69,car,0.51,N/A,0
47,7,372,2,656,113,car,0.39,N/A,0
47,6,996,1,1158,192,car,0.51,N/A,0
47,5,721,62,956,337,truck,0.62,N/A,0
47,3,1231,352,1466,777,bus,0.68,N/A,0
47,2,176,119,696,348,car,0.72,N/A,0
47,1,1434,7,1662,170,car,0.84,N/A,0
48,34,1225,0,1352,44,car,0.33,N/A,0
48,33,1209,27,1431,321,car,0.58,N/A,0
48,27,1220,1,1351,72,car,0.49,N/A,0
48,7,375,1,656,111,car,0.35,N/A,0
48,6,997,1,1158,192,car,0.52,N/A,0
48,5,721,62,956,337,truck,0.58,N/A,0
48,3,1231,354,1467,783,truck,0.46,N/A,0
48,2,176,120,696,348,car,0.75,N/A,0
48,1,1432,5,1657,168,car,0.88,N/A,0
49,34,1226,0,1352,45,car,0.37,N/A,0
49,33,1210,28,1431,322,car,0.58,N/A,0
49,27,1220,1,1350,71,car,0.48,N/A,0
49,7,378,1,656,111,car,0.35,N/A,0
49,6,997,0,1158,192,car,0.54,N/A,0
49,5,721,63,956,338,truck,0.56,N/A,0
49,3,1231,356,1467,787,bus,0.65,N/A,0
49,2,173,119,695,348,car,0.75,N/A,0
49,1,1428,2,1651,164,car,0.86,N/A,0
50,34,1226,0,1352,46,car,0.29,N/A,0
50,33,1210,29,1430,321,car,0.55,N/A,0
50,27,1220,1,1350,73,car,0.57,N/A,0
50,8,1230,355,1466,786,truck,0.37,N/A,0
50,7,376,2,654,112,car,0.37,N/A,0
50,6,998,0,1159,191,car,0.56,N/A,0
